organization,name,full_name,stargazers_count,language,created_at,updated_at,homepage,fork,description
mysociety,django-jumpstart,mysociety/django-jumpstart,2,Python,2011-09-29T10:48:08Z,2014-12-17T15:03:22Z,,False,A template Django project that makes starting new projects easier on the mySoc setup
mysociety,polipop,mysociety/polipop,2,Python,2011-10-27T11:54:30Z,2014-01-23T06:20:33Z,,False,An overarching project to hold separate and separable components for TheyWorkForYou type activities
mysociety,popit,mysociety/popit,73,JavaScript,2011-11-23T12:44:54Z,2015-11-16T18:41:05Z,,False,**Development on PopIt has stopped and it is no longer being maintained**
mysociety,popit-mysociety,mysociety/popit-mysociety,2,Python,2011-12-23T13:19:27Z,2013-11-15T01:41:18Z,,False,The mySociety deployment bits for an installation of popit
mysociety,foi-register,mysociety/foi-register,10,Ruby,2012-02-24T13:44:09Z,2015-05-12T08:39:47Z,,False,Register of Freedom of Information requests
mysociety,fms-endpoint,mysociety/fms-endpoint,13,PHP,2012-04-26T12:00:46Z,2015-08-29T19:40:40Z,,False,"basic problem-reports database and Open311 server, suitable for use with http://fixmystreet.org"
mysociety,tilma,mysociety/tilma,1,Shell,2012-05-16T16:04:36Z,2014-09-09T02:10:39Z,,False,"Our hosted tile server, handling OS StreetView, hosted OSM, and more"
mysociety,node-connect-image-proxy,mysociety/node-connect-image-proxy,13,JavaScript,2012-05-22T10:05:24Z,2015-04-03T14:45:08Z,,False,A Node.js Connect middleware for proxing (and manipulating) images.
mysociety,node-jade-amd,mysociety/node-jade-amd,23,JavaScript,2012-05-23T15:41:34Z,2015-11-09T03:19:47Z,,False,Helpers for working with Jade templates in an AMD setting
mysociety,message-manager,mysociety/message-manager,5,PHP,2012-06-14T14:00:01Z,2014-11-15T17:43:15Z,,False,"Accepts messages from an external source (e.g., an SMS gateway) and offers them up to FixMyStreet-like applications."
mysociety,popit-php,mysociety/popit-php,3,PHP,2012-06-26T11:13:24Z,2015-11-16T18:53:08Z,,False,PHP interface to the PopIt API
mysociety,popit-python,mysociety/popit-python,4,Python,2012-07-02T15:22:12Z,2015-04-17T15:20:07Z,,False,Python bindings to connect to the PopIt API
mysociety,adminbootstraptheme,mysociety/adminbootstraptheme,2,JavaScript,2012-08-07T09:31:38Z,2013-04-17T13:42:25Z,,True,A theme for the Alaveteli admin interface that uses Twitter's Bootstrap project to prettify it
mysociety,allourideas.org,mysociety/allourideas.org,4,JavaScript,2012-08-29T09:56:01Z,2015-07-17T07:13:11Z,www.allourideas.org,True,"allourideas allows groups to collect and priorize information in an open, democratic, and efficient process."
mysociety,alavetelitheme,mysociety/alavetelitheme,1,HTML,2012-08-29T14:32:08Z,2015-04-28T10:49:32Z,http://alaveteli.org,False,An example theme for alaveteli
mysociety,pairwise-api,mysociety/pairwise-api,2,Ruby,2012-08-29T14:36:13Z,2014-06-25T01:36:55Z,api.allourideas.org,True,API that powers allourideas.org and photocracy.org
mysociety,sayit,mysociety/sayit,62,Python,2012-09-12T10:57:38Z,2015-11-17T10:44:22Z,http://sayit.mysociety.org/,False,SayIt - a component for recording and storing public statements.
mysociety,django-select-time-widget,mysociety/django-select-time-widget,1,Python,2012-09-20T10:22:31Z,2013-04-04T09:11:34Z,,True,My copy of Brad Montgomery's SelectTimeWidget
mysociety,freebmd,mysociety/freebmd,1,JavaScript,2012-11-05T09:26:30Z,2014-06-25T01:35:24Z,,False,Free Births Marriages and Deaths
mysociety,spoke,mysociety/spoke,1,JavaScript,2012-11-05T14:53:22Z,2014-09-20T16:34:51Z,,False,Reporting speeches from public meetings
mysociety,node-underscore-template-additions,mysociety/node-underscore-template-additions,4,JavaScript,2012-11-13T09:59:16Z,2014-10-08T11:33:01Z,,False,"Template related additions to the underscore js library (inter template includes, AMD compilation, express helpers)"
mysociety,rails,mysociety/rails,1,Ruby,2013-01-08T11:25:26Z,2015-03-10T00:47:38Z,http://rubyonrails.org,True,Ruby on Rails
mysociety,zurich_mobile,mysociety/zurich_mobile,4,JavaScript,2013-01-14T12:45:49Z,2015-02-12T12:49:06Z,,False,Mobile app for Zurich version of FixMyStreet
mysociety,acts_as_xapian_gem,mysociety/acts_as_xapian_gem,0,Ruby,2013-01-17T11:58:13Z,2013-01-17T17:00:32Z,http://www.mikenelsons.com/projects,True,acts_as_xapian plugin converted to a gem. Provides integration with the xapian fulltext search engine.
mysociety,citizenconnect,mysociety/citizenconnect,1,Python,2013-01-30T10:29:52Z,2015-11-04T16:43:52Z,https://www.nhs.uk/careconnect/choices,False,"Citizen Connect project for the NHS: reporting problems, leaving reviews"
mysociety,uk-postcode-utils,mysociety/uk-postcode-utils,1,,2013-01-31T16:22:50Z,2014-07-25T13:15:22Z,,False,Utilities for handling UK postcodes
mysociety,ipvtheme,mysociety/ipvtheme,2,CSS,2013-02-22T13:59:54Z,2015-02-19T16:52:19Z,,False,Alaveteli theme for http://infoprovsechny.cz
mysociety,popit-api,mysociety/popit-api,16,JavaScript,2013-03-14T12:15:34Z,2015-11-16T18:49:33Z,,False,**Development on PopIt has stopped and it is no longer being maintained**
mysociety,popit-django,mysociety/popit-django,1,Python,2013-03-25T11:25:57Z,2015-11-16T18:52:51Z,http://www.mysociety.org,False,A Django app that lets you use locally stored PopIt data easily in your Django project.
mysociety,django-mptt,mysociety/django-mptt,0,Python,2013-04-04T10:36:46Z,2013-04-04T11:30:03Z,,True,Utilities for implementing a modified pre-order traversal tree in django.
mysociety,kenya-TJRC-final-report,mysociety/kenya-TJRC-final-report,0,,2013-05-31T13:42:04Z,2013-09-30T15:02:17Z,,False,An accessible version of the Final Report of The Truth Justice and Reconciliation Commission of Kenya
mysociety,rickshaw,mysociety/rickshaw,0,JavaScript,2013-06-27T15:55:52Z,2013-06-27T15:55:52Z,http://code.shutterstock.com/rickshaw/,True, JavaScript toolkit for creating interactive real-time graphs
mysociety,za-hansard,mysociety/za-hansard,1,HTML,2013-07-01T09:21:17Z,2015-04-17T17:36:14Z,,False,"A parser for South African Hansards, as published at  http://www.parliament.gov.za/live/content.php?Category_ID=119"
mysociety,fixmystreet-mobile,mysociety/fixmystreet-mobile,18,Objective-C,2013-07-02T18:09:25Z,2015-10-30T13:33:46Z,,False,Phonegap application for making reports to FixMyStreet
mysociety,django-subdomain-instances,mysociety/django-subdomain-instances,10,Python,2013-07-29T16:38:37Z,2015-03-05T11:53:32Z,,False,"A way of allowing subdomains to be served by the same project, and associating objects with particular subdomains."
mysociety,survey,mysociety/survey,0,PHP,2013-08-13T14:26:21Z,2013-10-03T08:50:17Z,,False,Code used to run demographic and various other surveys on mySociety sites.
mysociety,django-failedloginblocker,mysociety/django-failedloginblocker,0,Python,2013-08-15T19:07:02Z,2013-08-16T15:09:19Z,,True,Fork which is packaged and released on PyPI
mysociety,django-os-geocoder,mysociety/django-os-geocoder,1,Python,2013-08-20T11:25:43Z,2014-06-12T10:27:26Z,,False,A Django app that lets you load Ordnance Survey data and use it to find places
mysociety,popit-resolver,mysociety/popit-resolver,1,JavaScript,2013-08-21T12:00:16Z,2015-09-23T13:02:58Z,,False,Resolve a name to an entity from a mysociety/popit instance
mysociety,mysociety.github.io,mysociety/mysociety.github.io,3,HTML,2013-09-03T11:16:41Z,2015-09-23T13:04:24Z,http://mysociety.github.io/,False,Dev bucket site
mysociety,Template2,mysociety/Template2,0,Perl,2013-09-04T14:10:55Z,2014-09-09T14:11:14Z,http://template-toolkit.org/,True,Perl Template Toolkit v2
mysociety,dirittodisapere-theme,mysociety/dirittodisapere-theme,0,HTML,2013-09-11T15:37:19Z,2015-07-30T10:16:17Z,,False,Theme for Italian Alaveteli site
mysociety,Tennis-Refactoring-Kata,mysociety/Tennis-Refactoring-Kata,1,Python,2013-10-22T07:22:04Z,2014-06-25T01:33:31Z,,True,Starting code for a Refactoring Code Kata on the Tennis rules
mysociety,home-poplus,mysociety/home-poplus,2,JavaScript,2013-10-22T09:53:50Z,2014-06-25T20:33:47Z,poplus.org,True,"Website for the POPLUS environment. It serves as a hub for all poplus components, deployments, workspaces, etc."
mysociety,parlparse,mysociety/parlparse,12,Python,2013-10-28T15:46:30Z,2015-10-15T12:41:25Z,,False,"The scraper/parser that produces data for TheyWorkForYou, PublicWhip, etc"
mysociety,django-currencies,mysociety/django-currencies,0,Python,2013-11-18T14:17:10Z,2013-11-19T17:58:26Z,http://pypi.python.org/pypi/django-currencies,True,"django-currencies allows you to define different currencies, and includes template tags/filters to allow easy conversion between them."
mysociety,globalize,mysociety/globalize,0,Ruby,2013-11-19T09:40:07Z,2013-11-19T09:44:31Z,,True,Rails I18n de-facto standard library for ActiveRecord model/data translation.
mysociety,askyourgovug-theme,mysociety/askyourgovug-theme,0,Ruby,2013-11-21T10:37:04Z,2014-11-19T17:10:09Z,,False,The Alaveteli theme for http://askyourgov.ug
mysociety,django-sluggable,mysociety/django-sluggable,0,Python,2013-12-19T19:00:37Z,2014-08-27T15:09:19Z,django-sluggable.rtfd.org,True,Manage your slugs and redirect old slugs to the new one
mysociety,manchester-survey,mysociety/manchester-survey,0,HTML,2014-01-20T09:28:00Z,2015-10-21T13:56:19Z,,False,User survey run in conjunction with Manchester University
mysociety,landfill,mysociety/landfill,1,C,2014-01-27T11:55:49Z,2014-06-25T01:33:19Z,,False,Dead projects
mysociety,attic,mysociety/attic,1,JavaScript,2014-01-27T11:56:39Z,2015-02-02T16:57:20Z,,False,Disused projects
mysociety,internal,mysociety/internal,0,Python,2014-01-27T11:57:32Z,2015-07-15T13:50:33Z,,False,"Internal things (intranet, mailing lists, web IRC)"
mysociety,internal-services,mysociety/internal-services,0,Perl,2014-01-27T11:58:17Z,2015-01-23T22:03:13Z,,False,"Internal services (e.g. rate limiting, representatives, email utils)"
mysociety,misc-scripts,mysociety/misc-scripts,3,Python,2014-01-27T11:59:12Z,2015-11-04T17:54:03Z,,False,"Miscellaneous scripts (deploying, log rotation, lockfiles, git hooks, server config, etc)"
mysociety,bm-norse-placenames-map,mysociety/bm-norse-placenames-map,1,JavaScript,2014-02-17T16:19:51Z,2015-02-03T20:00:00Z,,False,Mapping Norse names and Watling Street for the British Museum's Vikings exhibition
mysociety,slobodenpristap-theme,mysociety/slobodenpristap-theme,0,CSS,2014-02-24T16:02:24Z,2014-03-04T12:19:21Z,,False,Alaveteli theme for slobodenpristap
mysociety,fixmystreet-bundle,mysociety/fixmystreet-bundle,0,,2014-03-18T10:49:22Z,2014-03-18T11:02:20Z,,False,Bundle of modules needed by FixMyStreet for potential quicker installation
mysociety,mysociety-docs-theme,mysociety/mysociety-docs-theme,1,CSS,2014-04-03T11:11:27Z,2015-02-03T10:30:34Z,,False,Theme used for e.g. fixmystreet.org
mysociety,sayit.mysociety.org,mysociety/sayit.mysociety.org,3,HTML,2014-04-14T10:50:03Z,2015-06-19T14:39:14Z,http://sayit.mysociety.org/,False,A hosting service for data using the SayIt component
mysociety,popit.poplus.org,mysociety/popit.poplus.org,1,CSS,2014-04-17T14:52:48Z,2015-11-04T16:44:05Z,http://popit.poplus.org,False,PopIt Poplus homepage
mysociety,write-it,mysociety/write-it,0,Python,2014-04-23T14:36:20Z,2014-04-29T09:45:47Z,poplus.org,True,App to create and send messages to public persons. It's a component of POPLUS project.
mysociety,mapit.poplus.org,mysociety/mapit.poplus.org,0,CSS,2014-04-23T15:55:21Z,2015-02-12T18:04:13Z,,False,The Jekyll site for http://mapit.poplus.org 
mysociety,writeit.poplus.org,mysociety/writeit.poplus.org,1,CSS,2014-04-30T10:16:11Z,2015-09-23T13:06:31Z,,False,The Jekyll site for http://writeit.poplus.org
mysociety,sayit.poplus.org,mysociety/sayit.poplus.org,2,CSS,2014-04-30T14:35:39Z,2015-09-23T13:06:33Z,,False,Jekyll site for sayit.poplus.org
mysociety,component-library,mysociety/component-library,0,CSS,2014-06-02T09:35:06Z,2014-06-02T10:23:31Z,,False,A library of reusable front-end components
mysociety,poplus-theme,mysociety/poplus-theme,0,CSS,2014-06-05T11:30:39Z,2014-06-06T14:59:38Z,,False,Shared Sass theme for Poplus component sites like mapit.poplus.org and popit.poplus.org
mysociety,django-popolo,mysociety/django-popolo,0,Python,2014-06-10T14:16:45Z,2015-10-16T13:33:39Z,,True,A django-based Popolo specifications implementation
mysociety,sayit-philadelphia,mysociety/sayit-philadelphia,0,Python,2014-06-16T13:26:10Z,2014-12-29T00:15:04Z,,False,A site to display transcripts of council meetings in Philadelphia.
mysociety,za-parliament-image-scraper,mysociety/za-parliament-image-scraper,0,Python,2014-06-19T12:31:31Z,2014-06-20T20:03:55Z,,False,Scrape images from the ZA Parliament website.
mysociety,panama-theme,mysociety/panama-theme,0,HTML,2014-07-24T16:22:34Z,2015-03-11T13:26:57Z,,False,A theme for Alaveteli in Panama
mysociety,derechoapreguntar-theme,mysociety/derechoapreguntar-theme,0,HTML,2014-08-22T08:21:54Z,2015-05-06T10:17:51Z,,False,An Alaveteli theme for Nicaragua
mysociety,planningalerts-app,mysociety/planningalerts-app,0,Ruby,2014-09-08T17:04:30Z,2015-04-07T11:40:52Z,www.planningalerts.org.au,True,Find out and have your say about what's being built and knocked down in your area.
mysociety,yournextrepresentative,mysociety/yournextrepresentative,35,Python,2014-09-10T07:32:13Z,2015-11-05T21:02:23Z,http://yournextmp.mysociety.org,False,An experimental front-end to PopIt for 2015 GE candidates
mysociety,image-proxy,mysociety/image-proxy,0,JavaScript,2014-09-25T09:36:22Z,2015-03-11T12:50:18Z,,True,An image proxy using the Express Node.js framework
mysociety,quesabes-theme,mysociety/quesabes-theme,0,,2014-10-27T10:29:33Z,2014-09-12T15:20:22Z,,True,quesabes.uy theme for Alaveteli
mysociety,python-simpledb,mysociety/python-simpledb,0,Python,2014-11-05T10:57:15Z,2014-11-06T12:03:37Z,http://sixapart.com,True,Open Source Python library for accessing Amazon SimpleDB API
mysociety,ruby-msg,mysociety/ruby-msg,2,Ruby,2014-11-06T10:32:07Z,2015-11-07T13:19:45Z,http://ruby-msg.googlecode.com,True,A library for reading and converting Outlook msg and pst files (mapi message stores)
mysociety,sass,mysociety/sass,0,,2014-11-06T13:48:42Z,2014-11-06T12:26:50Z,http://sass-lang.com,True,Sass makes CSS fun again.
mysociety,asktheeu-theme,mysociety/asktheeu-theme,0,HTML,2014-11-11T14:43:38Z,2015-05-08T14:49:38Z,,True,Alavateli theme for AskTheEU.eu
mysociety,mot-fms-mashup,mysociety/mot-fms-mashup,0,Python,2014-11-20T10:38:39Z,2014-11-26T12:35:06Z,,False,Short spike project to explore MOT data mashed up with reports from FixMyStreet
mysociety,sobanukirwa-theme,mysociety/sobanukirwa-theme,1,HTML,2014-11-20T15:36:02Z,2015-04-16T09:18:46Z,,False,Alavateli theme for http://sobanukirwa.rw
mysociety,pmo,mysociety/pmo,0,,2014-11-24T15:26:29Z,2014-11-24T15:27:20Z,,False,A repository to allow the PMO team to track issues across multiple projects.
mysociety,publicwhip,mysociety/publicwhip,0,Ruby,2014-11-25T15:18:05Z,2014-11-25T15:18:07Z,https://theyvoteforyou.org.au/,True,Helping you find out if your MP represents you by analysing their votes in Australia's parliament for you.
mysociety,django-profiler-middleware,mysociety/django-profiler-middleware,0,Python,2014-12-02T15:37:42Z,2014-12-02T16:20:26Z,,False,A profiler middleware for Django
mysociety,retirement,mysociety/retirement,0,HTML,2015-01-07T11:59:54Z,2015-03-30T15:55:08Z,,False,A holding page and banner for old websites we are retiring.
mysociety,annual-report,mysociety/annual-report,0,CSS,2015-01-27T17:04:25Z,2015-02-10T15:53:23Z,https://mysociety.org,False,Simple static site describing mySociety’s 2014 in numbers
mysociety,wikipedia_list_of_legislatures,mysociety/wikipedia_list_of_legislatures,0,Python,2015-02-12T13:18:01Z,2015-02-17T09:02:57Z,https://morph.io/mysociety/wikipedia_list_of_legislatures,False,Get csv of the list of legislatures
mysociety,wikipedia_list_of_legislatures2,mysociety/wikipedia_list_of_legislatures2,0,Python,2015-02-16T13:31:23Z,2015-02-23T13:24:42Z,https://morph.io/mysociety/wikipedia_list_of_legislatures2,False,
mysociety,varnish-apikey,mysociety/varnish-apikey,0,Perl,2015-03-04T15:07:23Z,2015-08-18T17:16:03Z,,False,Api management and caching using Varnish http-accerator and Redis key-value store
mysociety,2015wards,mysociety/2015wards,0,Python,2015-03-06T09:51:29Z,2015-04-03T09:35:50Z,,False,Find out which ward you'll be in after the May 2015 boundary changes.
mysociety,mapit.mysociety.org,mysociety/mapit.mysociety.org,0,Python,2015-03-19T15:30:47Z,2015-04-17T10:04:09Z,,False,"Django project for MapIt in the UK, runs mapit.mysociety.org"
mysociety,django-subdomains,mysociety/django-subdomains,0,Python,2015-03-27T09:15:10Z,2015-03-27T09:15:10Z,http://django-subdomains.readthedocs.org/,True,"Subdomain helpers for the Django framework, including subdomain-based URL routing."
mysociety,xapian-full,mysociety/xapian-full,0,Ruby,2015-03-31T15:57:47Z,2015-06-23T11:59:15Z,,True,"Ruby Xapian bindings, including xapian-core"
mysociety,mapumental-scripts,mysociety/mapumental-scripts,0,Python,2015-04-23T15:06:14Z,2015-04-23T15:10:22Z,https://mapumental.com/api/,False,Example scripts showing what's possible with the Mapumental API
mysociety,alaveteli-capistrano-vm,mysociety/alaveteli-capistrano-vm,0,,2015-04-24T14:15:52Z,2015-04-24T14:15:52Z,,False,Alaveteli Capistano Test VM
mysociety,mavc-theme,mysociety/mavc-theme,0,HTML,2015-04-27T15:30:14Z,2015-04-27T17:07:57Z,,False,Theme for Liberia Alaveteli
mysociety,logbook,mysociety/logbook,0,PHP,2015-05-06T11:06:31Z,2015-05-07T10:53:15Z,,False,A simple service for recording research events.
mysociety,SeePoliticiansTweet,mysociety/SeePoliticiansTweet,0,CSS,2015-05-14T11:09:34Z,2015-08-17T15:04:05Z,,False,
mysociety,alaveteli-production-vm,mysociety/alaveteli-production-vm,1,,2015-05-28T15:13:19Z,2015-05-29T09:11:20Z,,False,VM with Alaveteli installed in production mode for testing.
mysociety,rmagick,mysociety/rmagick,0,C,2015-06-17T10:48:45Z,2015-06-17T10:48:46Z,https://rubygems.org/gems/rmagick,True,Ruby bindings for ImageMagick
mysociety,fixmystreet-international,mysociety/fixmystreet-international,0,Shell,2015-07-16T10:46:27Z,2015-09-29T09:26:43Z,,False,Related activity for international reuse of FixMyStreet
mysociety,collideoscope,mysociety/collideoscope,0,Perl,2015-08-11T14:26:35Z,2015-08-11T16:05:53Z,,False,Extra code for Collideosco.pe that doesn't fit into the main FixMyStreet repository
mysociety,strip_attributes,mysociety/strip_attributes,0,Ruby,2015-08-13T11:08:30Z,2015-08-13T11:08:31Z,https://github.com/rmm5t/strip_attributes,True,"StripAttributes is an ActiveModel extension that automatically strips all attributes of leading and trailing whitespace before validation. If the attribute is blank, it strips the value to nil."
mysociety,slurp,mysociety/slurp,0,PHP,2015-08-18T15:49:47Z,2015-08-18T16:02:55Z,,False,A tool for retrieving anonymised stats from deployments of our software.
mysociety,asknepal-theme,mysociety/asknepal-theme,0,HTML,2015-08-21T10:28:25Z,2015-09-02T15:01:19Z,,False,An Alaveteli theme for Nepal
mysociety,oxfam-lookup,mysociety/oxfam-lookup,0,Python,2015-08-28T08:52:15Z,2015-08-28T18:43:28Z,,False,"Postcode/address to representative lookup, via MapIt/EveryPolitician"
mysociety,mongoid-slug,mysociety/mongoid-slug,0,Ruby,2015-09-17T15:39:36Z,2015-09-17T15:39:37Z,http://github.com/digitalplaywright/mongoid-slug,True,Generates a URL slug/permalink based on fields in a Mongoid-based model
mysociety,mongoid,mysociety/mongoid,0,Ruby,2015-09-21T10:36:58Z,2015-09-21T10:37:03Z,http://mongoid.org,True,Ruby ODM framework for MongoDB
mysociety,django-user-accounts,mysociety/django-user-accounts,0,Python,2015-09-28T08:39:35Z,2015-09-28T08:39:36Z,,True,User accounts for Django
mysociety,django-images,mysociety/django-images,0,Python,2015-10-30T14:44:42Z,2015-10-30T14:49:54Z,,False,"Attach images to any Django model, with helpful admin"
mysociety,active_model_otp,mysociety/active_model_otp,0,Ruby,2015-10-30T16:54:46Z,2015-10-30T16:54:47Z,,True,Adds methods to set and authenticate against one time passwords (Two-Factor Authentication). Inspired in AM::SecurePassword 
poplus,home-poplus,poplus/home-poplus,9,HTML,2013-03-06T19:12:33Z,2015-04-07T17:09:52Z,poplus.org,False,"Website for the POPLUS environment. It serves as a hub for all poplus components, deployments, workspaces, etc."
poplus,planet,poplus/planet,0,Python,2014-05-15T19:38:59Z,2014-06-25T21:57:50Z,planet.poplus.org,False,Check what's going on in the Poplus community.
everypolitician,everypolitician,everypolitician/everypolitician,4,,2015-02-11T15:08:56Z,2015-11-17T10:36:59Z,everypolitician.org,False,"Data about every national legislature in the world, freely available for you to use"
everypolitician,viewer-sinatra,everypolitician/viewer-sinatra,0,HTML,2015-04-01T15:02:20Z,2015-06-25T08:44:19Z,,False,Sinatra app for viewing EveryPolitician data
everypolitician,everypolitician-data,everypolitician/everypolitician-data,16,Ruby,2015-04-28T11:10:07Z,2015-11-05T00:59:25Z,http://everypolitician.org/,False,
everypolitician,viewer-static,everypolitician/viewer-static,0,HTML,2015-06-01T13:11:47Z,2015-06-01T13:13:16Z,,False,
everypolitician,app-manager,everypolitician/app-manager,0,Ruby,2015-06-01T13:15:02Z,2015-07-08T11:34:59Z,,False,
everypolitician,gender-balance,everypolitician/gender-balance,8,CSS,2015-06-25T15:49:57Z,2015-11-05T02:36:32Z,gender-balance.org,False,Crowdsourcing platform for gathering gender information about politicians to improve the data in EveryPolitician
everypolitician,wikidata-fetcher,everypolitician/wikidata-fetcher,0,Ruby,2015-07-28T06:43:37Z,2015-07-28T06:43:41Z,,False,None
everypolitician,rebuilder,everypolitician/rebuilder,0,Ruby,2015-10-13T16:31:58Z,2015-10-13T16:32:07Z,,False,None
everypolitician,everypoliticianbot,everypolitician/everypoliticianbot,0,Ruby,2015-10-15T10:17:11Z,2015-10-15T10:17:22Z,,False,None
everypolitician,parlparse-to-csv,everypolitician/parlparse-to-csv,0,Ruby,2015-10-20T16:24:18Z,2015-10-20T16:24:27Z,,False,None
everypolitician,everypolitician-writeinpublic,everypolitician/everypolitician-writeinpublic,0,Ruby,2015-10-22T11:00:36Z,2015-11-07T07:17:49Z,http://everypolitician.github.io/everypolitician-writeinpublic/countries.json,False,
everypolitician,parlparse-webhook-receiver,everypolitician/parlparse-webhook-receiver,0,Ruby,2015-10-22T12:48:22Z,2015-10-22T12:48:48Z,,False,None
everypolitician,wikisnakker,everypolitician/wikisnakker,1,Ruby,2015-11-04T10:54:12Z,2015-11-05T13:36:50Z,,False,None
everypolitician,everypolitician-names,everypolitician/everypolitician-names,0,Ruby,2015-11-08T14:22:33Z,2015-11-09T11:06:03Z,https://everypolitician.github.io/everypolitician-names/names.csv,False,Generates names.csv (all the politicians' names from everypolitician.org's data)
sinar,MalaysianICParserPython,Sinar/MalaysianICParserPython,3,Python,2011-08-29T03:13:15Z,2014-09-26T01:13:25Z,,False,A python program to process Malaysian IC Number
sinar,paip,Sinar/paip,3,Shell,2011-10-14T03:11:02Z,2013-02-12T12:56:47Z,,True,
sinar,sinar.corruptiontracker,Sinar/sinar.corruptiontracker,6,Python,2011-10-24T13:17:24Z,2015-07-30T07:48:09Z,,False,A web application to track corruption issues
sinar,Sinar-Scraper-Collection,Sinar/Sinar-Scraper-Collection,3,Python,2011-10-29T11:50:36Z,2013-11-28T02:41:47Z,,False,Our Collections of Scrapers!!!!
